	decimal_date	average	interpolated	Date
330	1985.708	343.27	343.27	1985-9
331	1985.792	343.13	343.13	1985-10
332	1985.875	344.49	344.49	1985-11
333	1985.958	345.88	345.88	1985-12
334	1986.042	346.56	346.56	1986-1
335	1986.125	347.28	347.28	1986-2
336	1986.208	348.01	348.01	1986-3
337	1986.292	349.77	349.77	1986-4
338	1986.375	350.38	350.38	1986-5
339	1986.458	349.93	349.93	1986-6
340	1986.542	348.16	348.16	1986-7
341	1986.625	346.08	346.08	1986-8
342	1986.708	345.22	345.22	1986-9
343	1986.792	344.51	344.51	1986-10
344	1986.875	345.93	345.93	1986-11
345	1986.958	347.21	347.21	1986-12
346	1987.042	348.52	348.52	1987-1
347	1987.125	348.73	348.73	1987-2
348	1987.208	349.73	349.73	1987-3
349	1987.292	351.31	351.31	1987-4
350	1987.375	352.09	352.09	1987-5
351	1987.458	351.53	351.53	1987-6
352	1987.542	350.11	350.11	1987-7
353	1987.625	347.92	347.92	1987-8
354	1987.708	346.52	346.52	1987-9
355	1987.792	346.59	346.59	1987-10
356	1987.875	347.96	347.96	1987-11
357	1987.958	349.16	349.16	1987-12
358	1988.042	350.39	350.39	1988-1
359	1988.125	351.64	351.64	1988-2
360	1988.208	352.41	352.41	1988-3
361	1988.292	353.69	353.69	1988-4
362	1988.375	354.21	354.21	1988-5
363	1988.458	353.72	353.72	1988-6
364	1988.542	352.69	352.69	1988-7
365	1988.625	350.4	350.4	1988-8
366	1988.708	348.92	348.92	1988-9
367	1988.792	349.13	349.13	1988-10
368	1988.875	350.2	350.2	1988-11
369	1988.958	351.41	351.41	1988-12
370	1989.042	352.91	352.91	1989-1
371	1989.125	353.27	353.27	1989-2
372	1989.208	353.96	353.96	1989-3
373	1989.292	355.64	355.64	1989-4
374	1989.375	355.86	355.86	1989-5
375	1989.458	355.37	355.37	1989-6
376	1989.542	353.99	353.99	1989-7
377	1989.625	351.81	351.81	1989-8
378	1989.708	350.05	350.05	1989-9
379	1989.792	350.25	350.25	1989-10
380	1989.875	351.49	351.49	1989-11
381	1989.958	352.85	352.85	1989-12
382	1990.042	353.8	353.8	1990-1
383	1990.125	355.04	355.04	1990-2
384	1990.208	355.73	355.73	1990-3
385	1990.292	356.32	356.32	1990-4
386	1990.375	357.32	357.32	1990-5
387	1990.458	356.34	356.34	1990-6
388	1990.542	354.84	354.84	1990-7
389	1990.625	353.01	353.01	1990-8
390	1990.708	351.31	351.31	1990-9
391	1990.792	351.62	351.62	1990-10
392	1990.875	353.07	353.07	1990-11
393	1990.958	354.33	354.33	1990-12
394	1991.042	354.84	354.84	1991-1
395	1991.125	355.73	355.73	1991-2
396	1991.208	357.23	357.23	1991-3
397	1991.292	358.66	358.66	1991-4
398	1991.375	359.13	359.13	1991-5
399	1991.458	358.13	358.13	1991-6
400	1991.542	356.19	356.19	1991-7
401	1991.625	353.85	353.85	1991-8
402	1991.708	352.25	352.25	1991-9
403	1991.792	352.35	352.35	1991-10
404	1991.875	353.81	353.81	1991-11
405	1991.958	355.12	355.12	1991-12
406	1992.042	356.25	356.25	1992-1
407	1992.125	357.11	357.11	1992-2
408	1992.208	357.86	357.86	1992-3
409	1992.292	359.09	359.09	1992-4
410	1992.375	359.59	359.59	1992-5
411	1992.458	359.33	359.33	1992-6
412	1992.542	357.01	357.01	1992-7
413	1992.625	354.94	354.94	1992-8
414	1992.708	352.95	352.95	1992-9
415	1992.792	353.32	353.32	1992-10
416	1992.875	354.32	354.32	1992-11
417	1992.958	355.57	355.57	1992-12
418	1993.042	357.0	357.0	1993-1
419	1993.125	357.31	357.31	1993-2
420	1993.208	358.47	358.47	1993-3
421	1993.292	359.27	359.27	1993-4
422	1993.375	360.19	360.19	1993-5
423	1993.458	359.52	359.52	1993-6
424	1993.542	357.33	357.33	1993-7
425	1993.625	355.64	355.64	1993-8
426	1993.708	354.03	354.03	1993-9
427	1993.792	354.12	354.12	1993-10
428	1993.875	355.41	355.41	1993-11
429	1993.958	356.91	356.91	1993-12
430	1994.042	358.24	358.24	1994-1
431	1994.125	358.92	358.92	1994-2
432	1994.208	359.99	359.99	1994-3
433	1994.292	361.23	361.23	1994-4
434	1994.375	361.65	361.65	1994-5
435	1994.458	360.81	360.81	1994-6
436	1994.542	359.38	359.38	1994-7
437	1994.625	357.46	357.46	1994-8
438	1994.708	355.73	355.73	1994-9
439	1994.792	356.07	356.07	1994-10
440	1994.875	357.53	357.53	1994-11
441	1994.958	358.98	358.98	1994-12
442	1995.042	359.92	359.92	1995-1
443	1995.125	360.86	360.86	1995-2
444	1995.208	361.83	361.83	1995-3
445	1995.292	363.3	363.3	1995-4
446	1995.375	363.69	363.69	1995-5
447	1995.458	363.19	363.19	1995-6
448	1995.542	361.64	361.64	1995-7
449	1995.625	359.12	359.12	1995-8
450	1995.708	358.17	358.17	1995-9
451	1995.792	357.99	357.99	1995-10
452	1995.875	359.45	359.45	1995-11
453	1995.958	360.68	360.68	1995-12
454	1996.042	362.07	362.07	1996-1
455	1996.125	363.24	363.24	1996-2
456	1996.208	364.17	364.17	1996-3
457	1996.292	364.57	364.57	1996-4
458	1996.375	365.13	365.13	1996-5
459	1996.458	364.92	364.92	1996-6
460	1996.542	363.55	363.55	1996-7
461	1996.625	361.38	361.38	1996-8
462	1996.708	359.54	359.54	1996-9
463	1996.792	359.58	359.58	1996-10
464	1996.875	360.89	360.89	1996-11
465	1996.958	362.25	362.25	1996-12
466	1997.042	363.09	363.09	1997-1
467	1997.125	364.03	364.03	1997-2
468	1997.208	364.51	364.51	1997-3
469	1997.292	366.35	366.35	1997-4
470	1997.375	366.64	366.64	1997-5
471	1997.458	365.59	365.59	1997-6
472	1997.542	364.31	364.31	1997-7
473	1997.625	362.25	362.25	1997-8
474	1997.708	360.29	360.29	1997-9
475	1997.792	360.82	360.82	1997-10
476	1997.875	362.49	362.49	1997-11
477	1997.958	364.38	364.38	1997-12
478	1998.042	365.26	365.26	1998-1
479	1998.125	365.98	365.98	1998-2
480	1998.208	367.24	367.24	1998-3
481	1998.292	368.66	368.66	1998-4
482	1998.375	369.42	369.42	1998-5
483	1998.458	368.99	368.99	1998-6
484	1998.542	367.82	367.82	1998-7
485	1998.625	365.95	365.95	1998-8
486	1998.708	364.02	364.02	1998-9
487	1998.792	364.4	364.4	1998-10
488	1998.875	365.52	365.52	1998-11
489	1998.958	367.13	367.13	1998-12
490	1999.042	368.18	368.18	1999-1
491	1999.125	369.07	369.07	1999-2
492	1999.208	369.68	369.68	1999-3
493	1999.292	370.99	370.99	1999-4
494	1999.375	370.96	370.96	1999-5
495	1999.458	370.3	370.3	1999-6
496	1999.542	369.45	369.45	1999-7
497	1999.625	366.9	366.9	1999-8
498	1999.708	364.81	364.81	1999-9
499	1999.792	365.37	365.37	1999-10
500	1999.875	366.72	366.72	1999-11
501	1999.958	368.1	368.1	1999-12
502	2000.042	369.29	369.29	2000-1
503	2000.125	369.54	369.54	2000-2
504	2000.208	370.6	370.6	2000-3
505	2000.292	371.81	371.81	2000-4
506	2000.375	371.58	371.58	2000-5
507	2000.458	371.7	371.7	2000-6
508	2000.542	369.86	369.86	2000-7
509	2000.625	368.13	368.13	2000-8
510	2000.708	367.0	367.0	2000-9
511	2000.792	367.03	367.03	2000-10
512	2000.875	368.37	368.37	2000-11
513	2000.958	369.67	369.67	2000-12
514	2001.042	370.59	370.59	2001-1
515	2001.125	371.51	371.51	2001-2
516	2001.208	372.43	372.43	2001-3
517	2001.292	373.37	373.37	2001-4
518	2001.375	373.85	373.85	2001-5
519	2001.458	373.21	373.21	2001-6
520	2001.542	371.51	371.51	2001-7
521	2001.625	369.61	369.61	2001-8
522	2001.708	368.18	368.18	2001-9
523	2001.792	368.45	368.45	2001-10
524	2001.875	369.76	369.76	2001-11
525	2001.958	371.24	371.24	2001-12
526	2002.042	372.53	372.53	2002-1
527	2002.125	373.2	373.2	2002-2
528	2002.208	374.12	374.12	2002-3
529	2002.292	375.02	375.02	2002-4
530	2002.375	375.76	375.76	2002-5
531	2002.458	375.52	375.52	2002-6
532	2002.542	374.01	374.01	2002-7
533	2002.625	371.85	371.85	2002-8
534	2002.708	370.75	370.75	2002-9
535	2002.792	370.55	370.55	2002-10
536	2002.875	372.25	372.25	2002-11
537	2002.958	373.79	373.79	2002-12
538	2003.042	374.88	374.88	2003-1
539	2003.125	375.64	375.64	2003-2
540	2003.208	376.46	376.46	2003-3
541	2003.292	377.73	377.73	2003-4
542	2003.375	378.6	378.6	2003-5
543	2003.458	378.28	378.28	2003-6
544	2003.542	376.7	376.7	2003-7
545	2003.625	374.38	374.38	2003-8
546	2003.708	373.17	373.17	2003-9
547	2003.792	373.14	373.14	2003-10
548	2003.875	374.66	374.66	2003-11
549	2003.958	375.99	375.99	2003-12
550	2004.042	377.0	377.0	2004-1
551	2004.125	377.87	377.87	2004-2
552	2004.208	378.88	378.88	2004-3
553	2004.292	380.35	380.35	2004-4
554	2004.375	380.62	380.62	2004-5
555	2004.458	379.69	379.69	2004-6
556	2004.542	377.47	377.47	2004-7
557	2004.625	376.01	376.01	2004-8
558	2004.708	374.25	374.25	2004-9
559	2004.792	374.46	374.46	2004-10
560	2004.875	376.16	376.16	2004-11
561	2004.958	377.51	377.51	2004-12
562	2005.042	378.46	378.46	2005-1
563	2005.125	379.73	379.73	2005-2
564	2005.208	380.77	380.77	2005-3
565	2005.292	382.29	382.29	2005-4
566	2005.375	382.45	382.45	2005-5
567	2005.458	382.22	382.22	2005-6
568	2005.542	380.74	380.74	2005-7
569	2005.625	378.74	378.74	2005-8
570	2005.708	376.7	376.7	2005-9
571	2005.792	377.0	377.0	2005-10
572	2005.875	378.35	378.35	2005-11
573	2005.958	380.11	380.11	2005-12
574	2006.042	381.38	381.38	2006-1
575	2006.125	382.19	382.19	2006-2
576	2006.208	382.67	382.67	2006-3
577	2006.292	384.61	384.61	2006-4
578	2006.375	385.03	385.03	2006-5
579	2006.458	384.05	384.05	2006-6
580	2006.542	382.46	382.46	2006-7
581	2006.625	380.41	380.41	2006-8
582	2006.708	378.85	378.85	2006-9
583	2006.792	379.13	379.13	2006-10
584	2006.875	380.15	380.15	2006-11
585	2006.958	381.82	381.82	2006-12
586	2007.042	382.89	382.89	2007-1
587	2007.125	383.9	383.9	2007-2
588	2007.208	384.58	384.58	2007-3
589	2007.292	386.5	386.5	2007-4
590	2007.375	386.56	386.56	2007-5
591	2007.458	386.1	386.1	2007-6
592	2007.542	384.5	384.5	2007-7
593	2007.625	381.99	381.99	2007-8
594	2007.708	380.96	380.96	2007-9
595	2007.792	381.12	381.12	2007-10
596	2007.875	382.45	382.45	2007-11
597	2007.958	383.95	383.95	2007-12
598	2008.042	385.52	385.52	2008-1
599	2008.125	385.82	385.82	2008-2
600	2008.208	386.03	386.03	2008-3
601	2008.292	387.21	387.21	2008-4
602	2008.375	388.54	388.54	2008-5
603	2008.458	387.76	387.76	2008-6
604	2008.542	386.36	386.36	2008-7
605	2008.625	384.09	384.09	2008-8
606	2008.708	383.18	383.18	2008-9
607	2008.792	382.99	382.99	2008-10
608	2008.875	384.19	384.19	2008-11
609	2008.958	385.56	385.56	2008-12
610	2009.042	386.94	386.94	2009-1
611	2009.125	387.47	387.47	2009-2
612	2009.208	388.82	388.82	2009-3
613	2009.292	389.55	389.55	2009-4
614	2009.375	390.14	390.14	2009-5
615	2009.458	389.48	389.48	2009-6
616	2009.542	388.03	388.03	2009-7
617	2009.625	386.11	386.11	2009-8
618	2009.708	384.74	384.74	2009-9
619	2009.792	384.43	384.43	2009-10
620	2009.875	386.02	386.02	2009-11
621	2009.958	387.42	387.42	2009-12
622	2010.042	388.71	388.71	2010-1
623	2010.125	390.2	390.2	2010-2
624	2010.208	391.17	391.17	2010-3
625	2010.292	392.46	392.46	2010-4
626	2010.375	393.0	393.0	2010-5
627	2010.458	392.15	392.15	2010-6
628	2010.542	390.2	390.2	2010-7
629	2010.625	388.35	388.35	2010-8
630	2010.708	386.85	386.85	2010-9
631	2010.792	387.24	387.24	2010-10
632	2010.875	388.67	388.67	2010-11
633	2010.958	389.79	389.79	2010-12
634	2011.042	391.33	391.33	2011-1
635	2011.125	391.86	391.86	2011-2
636	2011.208	392.6	392.6	2011-3
637	2011.292	393.25	393.25	2011-4
638	2011.375	394.19	394.19	2011-5
639	2011.458	393.73	393.73	2011-6
640	2011.542	392.51	392.51	2011-7
641	2011.625	390.13	390.13	2011-8
642	2011.708	389.08	389.08	2011-9
643	2011.792	389.0	389.0	2011-10
644	2011.875	390.28	390.28	2011-11
645	2011.958	391.86	391.86	2011-12
646	2012.042	393.12	393.12	2012-1
647	2012.125	393.86	393.86	2012-2
648	2012.208	394.4	394.4	2012-3
649	2012.292	396.18	396.18	2012-4
650	2012.375	396.74	396.74	2012-5
651	2012.458	395.71	395.71	2012-6
652	2012.542	394.36	394.36	2012-7
653	2012.625	392.39	392.39	2012-8
654	2012.708	391.11	391.11	2012-9
655	2012.792	391.05	391.05	2012-10
656	2012.875	392.98	392.98	2012-11
657	2012.958	394.34	394.34	2012-12
658	2013.042	395.55	395.55	2013-1
659	2013.125	396.8	396.8	2013-2
660	2013.208	397.43	397.43	2013-3
661	2013.292	398.41	398.41	2013-4
662	2013.375	399.78	399.78	2013-5
663	2013.458	398.61	398.61	2013-6
664	2013.542	397.32	397.32	2013-7
665	2013.625	395.2	395.2	2013-8
666	2013.708	393.45	393.45	2013-9
667	2013.792	393.7	393.7	2013-10
668	2013.875	395.16	395.16	2013-11
669	2013.958	396.84	396.84	2013-12
670	2014.042	397.85	397.85	2014-1
671	2014.125	398.01	398.01	2014-2
672	2014.208	399.77	399.77	2014-3
673	2014.292	401.38	401.38	2014-4
674	2014.375	401.78	401.78	2014-5
675	2014.458	401.25	401.25	2014-6
